2020-11-17 11:39:11.873 INFO  --- [StartupInfoLogger.java:55][restartedMain] - Starting MyApplication on GR-0733 with PID 8376 (E:\code\SpringBoot-Shiro-Vue-master\back\target\classes started by GR-0733 in E:\code\SpringBoot-Shiro-Vue-master\back)
2020-11-17 11:39:11.876 INFO  --- [SpringApplication.java:651][restartedMain] - No active profile set, falling back to default profiles: default
2020-11-17 11:39:15.512 WARN  --- [OptionalLiveReloadServer.java:61][restartedMain] - Unable to start LiveReload server
2020-11-17 11:39:15.640 INFO  --- [StartupInfoLogger.java:61][restartedMain] - Started MyApplication in 4.145 seconds (JVM running for 5.892)
2020-11-17 13:18:18.447 INFO  --- [DruidDataSource.java:1965][SpringContextShutdownHook] - {dataSource-0} closing ...
2020-11-17 13:18:26.174 INFO  --- [StartupInfoLogger.java:55][restartedMain] - Starting MyApplication on GR-0733 with PID 16776 (E:\code\SpringBoot-Shiro-Vue-master\back\target\classes started by GR-0733 in E:\code\SpringBoot-Shiro-Vue-master\back)
2020-11-17 13:18:26.177 INFO  --- [SpringApplication.java:651][restartedMain] - No active profile set, falling back to default profiles: default
2020-11-17 13:18:29.769 WARN  --- [OptionalLiveReloadServer.java:61][restartedMain] - Unable to start LiveReload server
2020-11-17 13:18:29.896 INFO  --- [StartupInfoLogger.java:61][restartedMain] - Started MyApplication in 4.096 seconds (JVM running for 5.814)
2020-11-17 13:21:17.990 INFO  --- [DruidDataSource.java:1965][SpringContextShutdownHook] - {dataSource-0} closing ...
2020-11-17 13:21:23.367 INFO  --- [StartupInfoLogger.java:55][restartedMain] - Starting MyApplication on GR-0733 with PID 20224 (E:\code\SpringBoot-Shiro-Vue-master\back\target\classes started by GR-0733 in E:\code\SpringBoot-Shiro-Vue-master\back)
2020-11-17 13:21:23.370 INFO  --- [SpringApplication.java:651][restartedMain] - No active profile set, falling back to default profiles: default
2020-11-17 13:21:26.764 WARN  --- [OptionalLiveReloadServer.java:61][restartedMain] - Unable to start LiveReload server
2020-11-17 13:21:26.886 INFO  --- [StartupInfoLogger.java:61][restartedMain] - Started MyApplication in 3.897 seconds (JVM running for 5.451)
2020-11-17 13:22:14.910 INFO  --- [DruidDataSource.java:1965][SpringContextShutdownHook] - {dataSource-0} closing ...
2020-11-17 13:22:19.588 INFO  --- [StartupInfoLogger.java:55][restartedMain] - Starting MyApplication on GR-0733 with PID 17028 (E:\code\SpringBoot-Shiro-Vue-master\back\target\classes started by GR-0733 in E:\code\SpringBoot-Shiro-Vue-master\back)
2020-11-17 13:22:19.591 INFO  --- [SpringApplication.java:651][restartedMain] - No active profile set, falling back to default profiles: default
2020-11-17 13:22:22.891 WARN  --- [OptionalLiveReloadServer.java:61][restartedMain] - Unable to start LiveReload server
2020-11-17 13:22:23.018 INFO  --- [StartupInfoLogger.java:61][restartedMain] - Started MyApplication in 3.811 seconds (JVM running for 5.523)
2020-11-17 13:25:20.363 INFO  --- [DruidDataSource.java:1965][SpringContextShutdownHook] - {dataSource-0} closing ...
2020-11-17 13:25:27.643 INFO  --- [StartupInfoLogger.java:55][restartedMain] - Starting MyApplication on GR-0733 with PID 12896 (E:\code\SpringBoot-Shiro-Vue-master\back\target\classes started by GR-0733 in E:\code\SpringBoot-Shiro-Vue-master\back)
2020-11-17 13:25:27.646 INFO  --- [SpringApplication.java:651][restartedMain] - No active profile set, falling back to default profiles: default
2020-11-17 13:25:30.927 WARN  --- [OptionalLiveReloadServer.java:61][restartedMain] - Unable to start LiveReload server
2020-11-17 13:25:31.045 INFO  --- [StartupInfoLogger.java:61][restartedMain] - Started MyApplication in 3.778 seconds (JVM running for 5.51)
2020-11-17 13:26:29.951 INFO  --- [DruidDataSource.java:1965][SpringContextShutdownHook] - {dataSource-0} closing ...
2020-11-17 13:26:45.491 INFO  --- [StartupInfoLogger.java:55][restartedMain] - Starting MyApplication on GR-0733 with PID 6688 (E:\code\SpringBoot-Shiro-Vue-master\back\target\classes started by GR-0733 in E:\code\SpringBoot-Shiro-Vue-master\back)
2020-11-17 13:26:45.495 INFO  --- [SpringApplication.java:651][restartedMain] - No active profile set, falling back to default profiles: default
2020-11-17 13:26:48.884 WARN  --- [OptionalLiveReloadServer.java:61][restartedMain] - Unable to start LiveReload server
2020-11-17 13:26:48.999 INFO  --- [StartupInfoLogger.java:61][restartedMain] - Started MyApplication in 14.509 seconds (JVM running for 16.062)
2020-11-17 13:27:13.415 INFO  --- [DruidDataSource.java:1965][SpringContextShutdownHook] - {dataSource-0} closing ...
2020-11-17 13:27:18.237 INFO  --- [StartupInfoLogger.java:55][restartedMain] - Starting MyApplication on GR-0733 with PID 13920 (E:\code\SpringBoot-Shiro-Vue-master\back\target\classes started by GR-0733 in E:\code\SpringBoot-Shiro-Vue-master\back)
